name,neighborhood,avg_rating,#_of_ratings,avg_cost,avg_cost_2,cash_cards?,variable,value
Bollywood Lounge,Marquês de Pombal,4.1,109,30 € for two people (approx.) with alcohol,30,Cash and Cards accepted,cuisine1,Indian
Praia Caffé,Oeiras e São Julião da Barra,3.9,97,50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,Fresh Fish
Starbucks,Chiado,4.2,498,12 € for two people (approx.),12,Cash and Cards accepted,cuisine1,Cafe
O Colon,Barreiro Centro,-,3,16 € for two people (approx.),16,Cash and Debit Cards accepted,cuisine1,BBQ
h3 Parque das Nações,Parque das Nações,4.0,225,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Burger
Le Petit Prince,Príncipe Real,4.0,39,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Creperie,Arroios,-,0,10 € for two people (approx.),10,Cash only,cuisine1,Desserts
Restaurante O Lavrador,Sintra Centro,3.9,66,36 € for two people (approx.),36,Cash and Debit Cards accepted,cuisine1,Portuguese
Pastelaria Batalha,Venda do Pinheiro,3.8,25,8 € for two people (approx.),8,Cash and Cards accepted,cuisine1,Cafe
Luxembourg,Ericeira,4.0,78,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Kebab
O Girassol,Cacém,3.7,20,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
AMAR Associação dos Moradores da Aroeira,Charneca de Caparica,-,0,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Café Jamor,Queluz,3.1,4,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Cafe
Arte Café,Entrecampos,3.1,0,10 € for two people (approx.),10,Cash only,cuisine1,Finger Food
Dinastia Selvagem,Belém,-,3,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Pizza
O Barbeiro,Alcântara,3.1,8,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Crisfia 2,Campolide,3.0,10,20 € for two people (approx.),20,Cash only,cuisine1,Cafe
Café O Amândio,Camarate,-,1,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Rés do Chão,Santa Apolónia,3.8,62,25 € for two people (approx.),25,Debit Cards accepted,cuisine1,Portuguese
The Garage - Smokehouse & BBQ,Alcântara,4.1,62,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,American
Báltico,Queluz,2.9,6,6 € for two people (approx.),6,"Cash, Debit Cards and Meal Coupons accepted",cuisine1,Cafe
A Travessa do Rio,Benfica,4.0,98,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Portuguese
Meste Zé,Guincho,4.0,101,70 € for two people (approx.),70,Cash and Cards accepted,cuisine1,Fresh Fish
Pastelaria Luciana,Saldanha,3.1,0,12 € for two people (approx.),12,Cash only,cuisine1,Finger Food
Jardim Sol - Pronto a Comer,Cacém,3.4,6,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
Pérola de Alfragide,Buraca,3.4,4,10 € for two people (approx.),10,Cash only,cuisine1,Cafe
Aníbal,Alfragide,3.5,12,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
A Grelha,Linda-a-Velha,3.8,45,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Portuguese
Skipper,Odivelas Centro,3.2,7,20 € for two people (approx.),20,Cash only,cuisine1,Finger Food
Noobai,Bica,4.2,"1,086",34 € for two people (approx.),34,Cash and Cards accepted,cuisine1,Healthy Food
Clube Parque dos Príncipes,Telheiras,2.9,7,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
São Miguel - Grandes Cantorias,Alfama,3.1,5,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Portuguese
Carminho’s Take-Away,Azeitão,-,1,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
Ponto de Encontro,Estoril,2.9,1,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Danúbio Azul,Mina,-,1,8 € for two people (approx.),8,Cash and Cards accepted,cuisine1,Portuguese
Cappuccino Café,Torres Vedras Centro,-,2,10 € for two people (approx.),10,Cash only,cuisine1,Finger Food
Os Piodenses,Benfica,3.7,19,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
Golfn'Table,Barcarena,3.4,7,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Portuguese
Cozinha com Alma: Take-away Social,Cascais Centro,3.8,23,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
A Lota,Sesimbra Centro,3.4,22,35 € for two people (approx.),35,Cash and Debit Cards accepted,cuisine1,Portuguese
Café Fornalha,Mem Martins,3.1,0,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
McDonald's,Saldanha,2.8,213,12 € for two people (approx.),12,Cash and Cards accepted,cuisine1,Fast Food
Patrono,Alfama,2.8,11,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Portuguese
Bikes and Beer,Feijó,3.5,8,10 € for two people (approx.) with alcohol,10,Cash only,cuisine1,Beverages
Pintarola,Sesimbra Centro,3.8,29,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Fresh Fish
First Café,Olivais,-,0,12 € for two people (approx.),12,Cash and Cards accepted,cuisine1,Cafe
O Combatente,Queluz,3.3,3,20 € for two people (approx.),20,Cash only,cuisine1,Finger Food
Bruta Flor,Mouraria,3.8,33,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Healthy Food
Pérola de Ouressa,Mem Martins,3.0,3,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Quinto Império,Apelação,3.4,5,30 € for two people (approx.),30,Cash only,cuisine1,Grill
Burguer Time,Amora,4.0,125,15 € for two people (approx.),15,Cash and Cards accepted,cuisine1,Burger
Gordinni Steak & Fish House,Cascais Centro,2.9,38,50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,Grill
Popicas Pastelaria,Lumiar,2.8,9,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
Coral - A Sushi Concept,Cascais Centro,4.1,77,50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,Japanese
Aquarius,Damaia,3.6,17,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Cafe
100 Gramas,Oeiras e São Julião da Barra,3.8,34,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Portuguese
Portas Verdes,Carnide,3.9,237,35 € for two people (approx.),35,Cash and Cards accepted,cuisine1,Portuguese
Real Kebab e Pizza's,Loures Centro,-,1,12 € for two people (approx.),12,Cash and Debit Cards accepted,cuisine1,Finger Food
Café Cervejaria,São Brás,-,0,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Pão do Bairro,Torres Vedras Centro,-,2,10 € for two people (approx.),10,Cash only,cuisine1,Petiscos
Café Lilimar,Coina,-,0,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Mercearia Vencedora,Cascais Centro,3.9,284,45 € for two people (approx.),45,Cash and Cards accepted,cuisine1,Italian
Beiral,Reboleira,3.4,8,12 € for two people (approx.),12,Cash and Cards accepted,cuisine1,Portuguese
O Zé da Mouraria 2,Pena,4.6,611,40 € for two people (approx.),40,Cash only,cuisine1,Portuguese
O Raposo,Arroios,4.0,91,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Portuguese
Risotto,Rio de Mouro,4.1,131,16 € for two people (approx.),16,Cash and Debit Cards accepted,cuisine1,Italian
O Cortiço,Odivelas Centro,3.2,11,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Solar dos Frangos,Estoril,3.8,22,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,BBQ
Caseiro Arneiro,Carcavelos,4.2,343,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Seafood
Pastelaria Dourado,Campo Grande,3.7,35,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Cafe
Bar da Cossoul,São Bento,3.4,8,15 € for two people (approx.) with alcohol,15,Cash only,cuisine1,Finger Food
Cafetaria Super 24,Santa Cruz,-,2,10 € for two people (approx.),10,Cash and Cards accepted,cuisine1,Cafe
Sabores da Savana,Almada Centro,-,0,14 € for two people (approx.),14,Cash and Debit Cards accepted,cuisine1,Portuguese
O Padeirinho,Apelação,-,0,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Flor da Rinchoa - Hibiscus,Rio de Mouro,-,1,10 € for two people (approx.),10,Cash only,cuisine1,Cafe
B2B - Pastelaria,Alverca do Ribatejo,-,0,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Churrasqueira da Bobadela,Bobadela,-,2,15 € for two people (approx.),15,Cash only,cuisine1,Grill
Cova Funda,Cacilhas,3.9,58,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Fresh Fish
Mensa,Oeiras e São Julião da Barra,4.1,192,40 € for two people (approx.),40,Cash only,cuisine1,Fusion
Pastanaga,Santos,3.8,12,30 € for two people (approx.),30,Cash only,cuisine1,International
Sociedade Recreativa Musical Almoçageme,Colares,3.0,1,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
O Miradouro,Famões,-,0,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
Boteco da Fá,Alfama,3.8,38,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Finger Food
Torrãozinho,Porto Salvo,3.3,5,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
La Pausa Self Service,Olivais,-,3,15 € for two people (approx.),15,Cash and Cards accepted,cuisine1,Portuguese
O Trevo,Chiado,4.0,139,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
Restaurante Monteiro-Mor - Museu do Traje,Lumiar,3.7,18,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Portuguese
Buzi,Marvila,3.1,2,8 € for two people (approx.),8,Cash only,cuisine1,Portuguese
Chafariz,Olivais,3.6,14,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Mini Bar,São João do Estoril,3.1,1,5 € for two people (approx.) with alcohol,5,Cash only,cuisine1,Finger Food
Pastelaria Helma,Amora,-,1,10 € for two people (approx.),10,Cash only,cuisine1,Petiscos
Dom Café - Amadora,Damaia,-,3,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Cafe
Casa dos Frangos,Sintra Centro,2.7,12,30 € for two people (approx.),30,Cash only,cuisine1,Portuguese
Caracol do bairro,Lumiar,3.7,13,8 € for two people (approx.),8,Cash and Cards accepted,cuisine1,Petiscos
Casa Transmontana,Barreiro Centro,3.3,8,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Portuguese
Homeru's,Fernão Ferro,3.4,14,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Portuguese
Formiga Gulosa,Arroios,-,2,12 € for two people (approx.),12,Cash and Debit Cards accepted,cuisine1,Pizza
Delícia de Alcântara,Alcântara,3.5,10,10 € for two people (approx.),10,Cash and Debit Cards accepted,cuisine1,Cafe
Forno de Telheiras,Telheiras,3.5,12,8 € for two people (approx.),8,Cash and Debit Cards accepted,cuisine1,Cafe
Café Paris,Silveira,-,0,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
Pizza 27,Carcavelos,4.1,133,22 € for two people (approx.),22,Cash and Cards accepted,cuisine1,Italian
Alcobacense,Penha de França,3.0,1,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Original Coffee,Venteira,-,0,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Snack Bar São Lázaro,Pena,3.5,14,8 € for two people (approx.),8,Cash and Cards accepted,cuisine1,Portuguese
Escudeiro,Venteira,-,3,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Portuguese
Boca do Forno,Torres Vedras Centro,-,3,12 € for two people (approx.),12,Cash and Debit Cards accepted,cuisine1,Bakery
Paladar Minhoto,Rio de Mouro,-,2,18 € for two people (approx.),18,Cash only,cuisine1,Portuguese
Cosmopolis Pastelaria,Amora,3.7,31,6 € for two people (approx.),6,Cash and Cards accepted,cuisine1,Cafe
Maraçaí,Alfornelos,3.6,8,12 € for two people (approx.),12,Cash only,cuisine1,Healthy Food
O Sem Nome,Restelo,3.9,72,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Fresh Fish
Os Latinos,Venda Nova,-,1,15 € for two people (approx.),15,Cash only,cuisine1,Cafe
O António,Bobadela,3.9,41,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Fresh Fish
Café Taberna Do Sousa,Seixal Centro,3.0,5,15 € for two people (approx.),15,Cash only,cuisine1,Cafe
Os Periquitos,Loures Centro,2.6,54,25 € for two people (approx.),25,Cash only,cuisine1,Petiscos
Rekantos I,Corroios,-,1,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Cafe
Esperança,Bairro Alto,4.1,186,40 € for two people (approx.),40,Cash and Debit Cards accepted,cuisine1,Italian
Bellabica,Algés,-,0,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Pastelaria Infante,Carnaxide,-,1,12 € for two people (approx.),12,Cash only,cuisine1,Cafe
Segredos Da Terra,Quinta do Conde,3.6,17,8 € for two people (approx.),8,Cash and Cards accepted,cuisine1,Cafe
Sushi Trendy,Loures Centro,3.8,53,40 € for two people (approx.),40,Cash and Debit Cards accepted,cuisine1,Japanese
Herculano,Avenida da Liberdade,3.7,31,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Bakery
Kafofo Grill,Torres Vedras Centro,3.5,10,16 € for two people (approx.),16,Cash and Cards accepted,cuisine1,Grill
Padaria da Esquina - Algueirão,Mem Martins,3.5,10,7 € for two people (approx.),7,Cash and Cards accepted,cuisine1,Cafe
Sidi Baba,Pena,-,0,8 € for two people (approx.) with alcohol,8,Cash and Debit Cards accepted,cuisine1,Portuguese
Wine & Pisco,Rossio,3.6,21,25 € for two people (approx.),25,Cash only,cuisine1,Petiscos
Restaurante Mar do Guincho,Guincho,3.9,34,40 € for two people (approx.),40,Cards only,cuisine1,Seafood
Boccalino,Ericeira,4.0,57,28 € for two people (approx.),28,Cash only,cuisine1,Italian
Sabores d'Outono,Lumiar,3.7,30,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
Pastelaria Tórrita,Mem Martins,3.6,15,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Cafe
Sete Castelos,Oeiras e São Julião da Barra,3.8,85,35 € for two people (approx.),35,Cards only,cuisine1,Portuguese
Croissanteria a Paragem,Sacavém,-,0,10 € for two people (approx.),10,Cash only,cuisine1,Cafe
O Alcochetano,Alcochete Centro,4.0,115,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Seafood
Oriental,São João do Estoril,3.5,4,20 € for two people (approx.),20,Cash only,cuisine1,Chinese
Che Boludo Cozinha Argentina,Praça de Espanha,3.1,4,25 € for two people (approx.),25,Cash only,cuisine1,Argentine
Oceano - Gelados E Crepes,Colares,3.5,7,10 € for two people (approx.),10,Cash and Debit Cards accepted,cuisine1,Desserts
Pizzaria Horta,Mafra Centro,3.5,119,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Italian
Nova Ásia,Alvalade,4.1,134,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Chinese
Pastelaria Manon,Campo Pequeno,3.2,7,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
Snack Bar Silvério,Marvila,-,3,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Garden Terrace,Turcifal,3.3,5,55 € for two people (approx.),55,Cash and Cards accepted,cuisine1,Portuguese
Estrela do Zambujal,São Domingos de Rana,3.2,4,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Mafra Pão,Restelo,3.2,24,10 € for two people (approx.),10,Cash and Debit Cards accepted,cuisine1,Cafe
O Meu Sonho,Sacavém,-,2,15 € for two people (approx.),15,Cash only,cuisine1,Cafe
Sabores da Carne,Birre,3.9,43,24 € for two people (approx.),24,Cash only,cuisine1,Grill
Farma&Cia Bar,Almada Centro,3.6,13,10 € for two people (approx.) with alcohol,10,Cash only,cuisine1,Beverages
Cheers,Bairro Alto,3.3,16,12 € for two people (approx.) with alcohol,12,Debit Cards accepted,cuisine1,Beverages
Farol de Oeiras,Oeiras e São Julião da Barra,3.9,112,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Tapas
Xiripiti Taberna,Cascais Centro,3.8,66,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Portuguese
Lisbon Wine House,Rossio,-,2,30 € for two people (approx.) with alcohol,30,Cash and Debit Cards accepted,cuisine1,Beverages
Café Vitória,Porto Salvo,-,1,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Varanda Vale Formoso,Marvila,4.3,364,40 € for two people (approx.),40,Cash and Debit Cards accepted,cuisine1,Portuguese
Pierrot Restaurante,Cacém,3.5,17,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Portuguese
Taberna de Azeitão,Azeitão,3.4,12,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
Flagrante Delitro,Campo de Ourique,3.9,74,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Portuguese
O Pãozinho das Marias II,Ericeira,3.9,85,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Delícias & Desejos,Moscavide,3.8,51,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Swaagat,Baixa,-,2,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Indian
Favorita II,Odivelas Centro,3.7,22,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
A Parreirinha de Carnide,Carnide,3.9,103,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
Frango à Solta,Camarate,3.3,4,12 € for two people (approx.),12,Cash and Debit Cards accepted,cuisine1,BBQ
Savana,Buraca,3.6,17,10 € for two people (approx.),10,Cash and Debit Cards accepted,cuisine1,Portuguese
Café Rouge,Barreiro Centro,-,0,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Cervejaria D'El Negro,Reboleira,3.8,17,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
A Casa do Luís,Colares,3.5,7,45 € for two people (approx.),45,Cash and Cards accepted,cuisine1,Portuguese
Taco Locoo,Marquês de Pombal,3.9,47,35 € for two people (approx.),35,Cash and Cards accepted,cuisine1,Mexican
Doce Mel,Odivelas Centro,-,3,10 € for two people (approx.),10,Debit Cards accepted,cuisine1,Finger Food
Maria.Come,Barreiro Centro,3.7,25,17 € for two people (approx.),17,Cash and Debit Cards accepted,cuisine1,Burger
Galifrango,Arroios,3.5,8,11 € for two people (approx.),11,Cash only,cuisine1,BBQ
A Fama dos Búzios,Lumiar,3.3,4,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Pastelaria Dom Café,Oeiras e São Julião da Barra,-,3,13 € for two people (approx.),13,Cash only,cuisine1,Finger Food
Red & Black Café,Odivelas Centro,3.3,4,12 € for two people (approx.),12,Cash only,cuisine1,Indian
Estrela de Queluz,Queluz,3.3,7,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Finger Food
Churrasqueira As Palmeiras,Linda-a-Velha,3.9,96,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
Taberna 31,Corroios,-,1,25 € for two people (approx.),25,Cash only,cuisine1,Petiscos
